Order ID,Order Date,Customer Name,Segment,Region,Country,Category,Sub-Category,Sales,Profit,Ship Mode,Data_Quality_Notes
ORD-100241,25-06-2022 00:00,Li Wei,Consumer,Europe,China,Furniture,Chairs,1972.36,1929.33,Second Class,
ORD-102041,08-06-2019 00:00,Anita Sharma,Consumer,Usca,China,Furniture,Storage,1866.68,1974.67,Second Class,
ORD-102824,25-04-2020 00:00,Ravi Kumar,Consumer,Africa,India,Technology,Storage,4494.49,526.46,Second Class,
ORD-102612,31-07-2018 00:00,Ravi Kumar,Home Office,Usca,Germany,Furniture,Tables,2524.91,-128.04,First Class,
ORD-101363,31-01-2019 00:00,John Doe,Consumer,Latam,India,Technology,Tables,2238.64,1776.52,Second Class,
ORD-105486,18-09-2018 00:00,Anita Sharma,Corporate,Africa,India,Technology,Storage,4091.04,1483.86,First Class,
ORD-101478,20-01-2020 00:00,Anita Sharma,Consumer,Europe,USA,Technology,Tables,249.29,778.19,Second Class,
ORD-102556,26-08-2018 00:00,John Doe,Corporate,Latam,Germany,Office Supplies,Binders,436.85,413.39,Same Day,
ORD-100775,18-09-2019 00:00,Anita Sharma,Consumer,Africa,USA,Furniture,Phones,113.34,620.41,Same Day,
ORD-104014,04-11-2020 00:00,Li Wei,Corporate,Asia,Germany,Office Supplies,Storage,3441.47,1754.7,Same Day,
ORD-100034,28-04-2020 00:00,John Doe,Corporate,Africa,China,Furniture,Storage,2630.45,-38.39,Same Day,
ORD-103152,06-07-2021 00:00,Li Wei,Home Office,Asia,Brazil,Office Supplies,Chairs,4380.73,1516.96,First Class,
ORD-101955,06-01-2023 00:00,Anita Sharma,Corporate,Asia,Brazil,Technology,Tables,2495.17,-454.52,Second Class,
ORD-101585,10-08-2021 00:00,John Doe,Home Office,Africa,Germany,Office Supplies,Storage,1112.99,1801.43,Standard Class,
ORD-103943,25-09-2018 00:00,Anita Sharma,Consumer,Africa,Brazil,Technology,Storage,4026.71,750.74,Same Day,
ORD-103073,12-09-2019 00:00,John Doe,Corporate,Asia,India,Office Supplies,Binders,1475.15,66.87,Second Class,
ORD-101021,28-04-2023 00:00,Anita Sharma,Corporate,Usca,China,Furniture,Tables,4678.77,-492.86,Second Class,
ORD-103461,05-05-2022 00:00,Li Wei,Consumer,Latam,China,Furniture,Phones,1255.87,898.87,Second Class,
ORD-102613,26-07-2020 00:00,Li Wei,Consumer,Europe,Brazil,Office Supplies,Binders,842.76,111.22,Standard Class,
ORD-105225,28-09-2019 00:00,Anita Sharma,Consumer,Africa,Germany,Office Supplies,Phones,2469.15,1078.16,Same Day,
ORD-103843,01-07-2020 00:00,John Doe,Home Office,Latam,India,Furniture,Chairs,257.32,202.92,First Class,
ORD-101500,13-04-2019 00:00,Ravi Kumar,Corporate,Latam,Germany,Office Supplies,Storage,186.88,-279.94,First Class,
ORD-104798,29-09-2020 00:00,Li Wei,Corporate,Usca,Brazil,Office Supplies,Binders,2482.59,762.63,Standard Class,
ORD-105675,08-12-2022 00:00,Li Wei,Consumer,Latam,China,Furniture,Phones,1079.46,911.21,Standard Class,
ORD-100161,04-02-2023 00:00,,Consumer,Africa,China,Technology,Tables,51.72,631.48,First Class,Missing customer name
ORD-104297,22-09-2019 00:00,Ravi Kumar,Home Office,Latam,Germany,Furniture,Chairs,1483.8,645.09,First Class,
ORD-101981,24-08-2022 00:00,Anita Sharma,Consumer,Africa,USA,Furniture,Chairs,2389.45,974.13,Same Day,
ORD-100995,31-10-2018 00:00,John Doe,Consumer,Africa,Germany,Office Supplies,Storage,1974.47,815.88,First Class,
ORD-104911,15-10-2018 00:00,,Corporate,Asia,USA,Furniture,Storage,681.67,-168.58,First Class,Missing customer name
ORD-103342,30-05-2018 00:00,Anita Sharma,Home Office,Usca,Germany,Furniture,Phones,2900.48,-7.29,First Class,
ORD-104551,01-08-2018 00:00,Maria  Gomez,Consumer,Europe,USA,Office Supplies,Phones,3553.11,-145.52,Standard Class,
ORD-103798,17-12-2019 00:00,Li Wei,Corporate,Asia,USA,Office Supplies,Chairs,3379.32,1233.24,First Class,
ORD-101275,19-03-2019 00:00,Maria  Gomez,Consumer,Europe,USA,Technology,Phones,1971.84,821.5,First Class,
ORD-101016,17-08-2020 00:00,Li Wei,Corporate,Africa,USA,Furniture,Storage,692.29,574.64,Same Day,
ORD-100337,13-08-2018 00:00,Li Wei,Corporate,Asia,India,Technology,Chairs,2499.94,1495.85,Second Class,
ORD-100878,20-06-2020 00:00,Maria  Gomez,Corporate,Latam,USA,Technology,Chairs,4452.71,314.49,Standard Class,
ORD-101076,05-12-2022 00:00,Maria  Gomez,Corporate,Latam,USA,Technology,Tables,2346.27,920.27,Standard Class,
ORD-104887,25-01-2018 00:00,Anita Sharma,Corporate,Europe,China,Technology,Tables,982.43,-313.98,Same Day,
ORD-103993,02-08-2018 00:00,,Home Office,Africa,India,Furniture,Phones,469.8,1361.01,First Class,Missing customer name
ORD-104859,05-06-2022 00:00,,Corporate,Europe,USA,Furniture,Phones,4719.91,1237.98,Second Class,Missing customer name
ORD-100379,27-01-2023 00:00,Maria  Gomez,Consumer,Usca,Brazil,Furniture,Storage,3716.33,1505.95,Same Day,
ORD-100492,11-02-2021 00:00,Anita Sharma,Consumer,Latam,India,Technology,Storage,1568.27,1711.19,Second Class,
ORD-105276,03-04-2021 00:00,,Home Office,Asia,China,Office Supplies,Tables,1480.29,1395.07,First Class,Missing customer name
ORD-102062,10-09-2022 00:00,Anita Sharma,Corporate,Asia,Germany,Furniture,Chairs,4476.62,1611.22,Second Class,
ORD-103884,15-02-2018 00:00,Anita Sharma,Consumer,Asia,China,Technology,Binders,891.95,364.14,Same Day,
ORD-100064,02-06-2018 00:00,Li Wei,Consumer,Latam,China,Technology,Binders,2677.51,358.34,First Class,
ORD-102568,21-07-2018 00:00,,Home Office,Africa,India,Technology,Phones,3568.95,1860.75,Standard Class,Missing customer name
ORD-105463,18-08-2018 00:00,,Consumer,Latam,India,Technology,Binders,1984.97,1786.44,Second Class,Missing customer name
ORD-105248,23-06-2023 00:00,Li Wei,Corporate,Latam,Brazil,Technology,Binders,204.31,871.24,First Class,
ORD-102027,27-07-2019 00:00,Maria  Gomez,Corporate,Asia,Brazil,Technology,Tables,1142.66,416.4,First Class,
ORD-102695,02-05-2023 00:00,Li Wei,Corporate,Latam,India,Furniture,Chairs,4509.53,1665,Same Day,
ORD-101495,23-07-2020 00:00,,Home Office,Asia,India,Office Supplies,Storage,2617.98,308.53,First Class,Missing customer name
ORD-105258,02-08-2018 00:00,,Consumer,Africa,India,Furniture,Tables,4078.13,-115.91,Same Day,Missing customer name
ORD-105618,16-05-2020 00:00,Maria  Gomez,Consumer,Usca,Germany,Furniture,Storage,2780.65,1098.73,Standard Class,
ORD-100391,15-03-2019 00:00,Li Wei,Consumer,Asia,China,Technology,Tables,4718.29,-393.45,Second Class,
ORD-105794,02-06-2023 00:00,John Doe,Corporate,Europe,Brazil,Furniture,Tables,4546.12,447.75,Standard Class,
ORD-104514,02-12-2020 00:00,John Doe,Home Office,Usca,Brazil,Office Supplies,Binders,2417.03,1519.16,Same Day,
ORD-104474,13-09-2020 00:00,Maria  Gomez,Corporate,Africa,USA,Office Supplies,Storage,1594.78,238.04,Standard Class,
ORD-105892,20-04-2022 00:00,Li Wei,Consumer,Usca,Germany,Technology,Tables,3010.34,1828.29,Second Class,
ORD-103561,27-09-2022 00:00,Li Wei,Corporate,Asia,India,Office Supplies,Binders,3376.06,1889.56,Standard Class,
ORD-102278,28-11-2022 00:00,Anita Sharma,Consumer,Africa,India,Technology,Phones,2494.28,1539.54,First Class,
ORD-103099,18-03-2023 00:00,,Home Office,Europe,Germany,Office Supplies,Storage,4112.3,1969.11,Second Class,Missing customer name
ORD-100200,28-04-2020 00:00,Ravi Kumar,Corporate,Asia,Brazil,Office Supplies,Tables,920.73,826.91,Standard Class,
ORD-105959,18-01-2018 00:00,Maria  Gomez,Consumer,Asia,India,Furniture,Phones,1675.39,923,Second Class,
ORD-104875,19-09-2018 00:00,Ravi Kumar,Consumer,Africa,USA,Office Supplies,Binders,3433.45,1590.42,Standard Class,
ORD-103104,05-08-2018 00:00,Ravi Kumar,Corporate,Africa,Brazil,Technology,Tables,1237.19,732.01,First Class,
ORD-104598,08-09-2019 00:00,Maria  Gomez,Corporate,Usca,China,Office Supplies,Binders,2202.02,516.8,Same Day,
ORD-102454,10-11-2019 00:00,Li Wei,Corporate,Europe,Germany,Office Supplies,Binders,4818.85,1036.88,Standard Class,
ORD-103645,21-07-2022 00:00,Maria  Gomez,Consumer,Usca,Brazil,Furniture,Binders,3131.25,1144.15,Second Class,
ORD-105847,04-02-2020 00:00,Ravi Kumar,Corporate,Usca,China,Technology,Storage,4745.54,1377.24,Standard Class,
ORD-100804,02-08-2022 00:00,,Home Office,Asia,USA,Technology,Phones,3613.59,1170.5,Same Day,Missing customer name
ORD-102731,09-04-2020 00:00,,Consumer,Africa,Germany,Technology,Phones,3624.71,1364.3,First Class,Missing customer name
ORD-105991,13-06-2023 00:00,,Corporate,Asia,India,Furniture,Chairs,2961.33,1186.4,First Class,Missing customer name
ORD-102773,05-12-2019 00:00,Li Wei,Consumer,Europe,India,Office Supplies,Tables,715.33,701.11,Same Day,
ORD-101570,30-07-2020 00:00,John Doe,Corporate,Usca,China,Technology,Binders,2600.97,-162.66,First Class,
ORD-105056,14-07-2019 00:00,Maria  Gomez,Home Office,Europe,Brazil,Office Supplies,Tables,1267.07,1463.61,Standard Class,
ORD-105581,12-01-2023 00:00,,Corporate,Africa,USA,Office Supplies,Phones,4993.37,-423.05,Second Class,Missing customer name
ORD-102690,17-07-2021 00:00,Maria  Gomez,Corporate,Africa,China,Office Supplies,Phones,1338.47,1981.25,Standard Class,
ORD-103840,12-10-2018 00:00,,Corporate,Latam,USA,Furniture,Binders,1157.28,1571.15,Same Day,Missing customer name
ORD-101028,31-07-2018 00:00,Li Wei,Corporate,Europe,USA,Office Supplies,Storage,3121.3,1177.28,Standard Class,
ORD-100502,28-12-2018 00:00,John Doe,Corporate,Asia,USA,Furniture,Binders,2557.19,1916.52,Standard Class,
ORD-104493,21-09-2018 00:00,John Doe,Home Office,Europe,Germany,Furniture,Binders,111.66,1031.18,Same Day,
ORD-100870,15-06-2019 00:00,,Corporate,Usca,China,Furniture,Chairs,652.02,-358.92,Second Class,Missing customer name
ORD-104488,29-12-2020 00:00,Li Wei,Consumer,Africa,Germany,Technology,Storage,4056.16,898.46,First Class,
ORD-100206,17-10-2020 00:00,Anita Sharma,Corporate,Africa,Brazil,Furniture,Tables,2421.04,193.01,Same Day,
ORD-105134,18-02-2018 00:00,Maria  Gomez,Corporate,Europe,Brazil,Technology,Storage,734.35,423.69,First Class,
ORD-105977,22-04-2018 00:00,Maria  Gomez,Home Office,Europe,India,Furniture,Binders,2328.89,648.96,First Class,
ORD-101484,20-01-2021 00:00,Ravi Kumar,Home Office,Europe,India,Furniture,Binders,1269.48,1436.5,Same Day,
ORD-100863,07-04-2020 00:00,Li Wei,Consumer,Usca,India,Furniture,Binders,1121.84,757.32,Second Class,
ORD-102790,08-04-2023 00:00,Ravi Kumar,Home Office,Usca,Brazil,Furniture,Binders,4788.84,686.7,Same Day,
ORD-100563,13-11-2021 00:00,,Home Office,Asia,USA,Office Supplies,Binders,1813.31,254.93,Same Day,Missing customer name
ORD-105116,12-01-2019 00:00,Ravi Kumar,Corporate,Europe,USA,Office Supplies,Storage,236.92,849.68,Standard Class,
ORD-104191,20-09-2021 00:00,John Doe,Corporate,Asia,China,Furniture,Binders,4851.78,120.98,Standard Class,
ORD-101757,21-04-2020 00:00,Maria  Gomez,Consumer,Latam,Brazil,Office Supplies,Phones,3975.22,152.48,Same Day,
ORD-101678,04-05-2019 00:00,Ravi Kumar,Home Office,Usca,India,Technology,Phones,1275.79,1393.15,Standard Class,
ORD-103242,02-11-2022 00:00,John Doe,Home Office,Africa,Brazil,Office Supplies,Chairs,2047.41,356.37,Second Class,
ORD-104636,15-04-2018 00:00,Li Wei,Consumer,Latam,USA,Office Supplies,Tables,4312.14,-371.5,Standard Class,
ORD-101059,23-02-2023 00:00,Ravi Kumar,Home Office,Africa,USA,Office Supplies,Phones,1790.28,359.19,Second Class,
ORD-105279,05-07-2022 00:00,,Corporate,Latam,Germany,Furniture,Chairs,2839.18,1096.43,First Class,Missing customer name
ORD-101722,29-09-2022 00:00,,Corporate,Asia,Germany,Technology,Storage,2676.61,1534.96,First Class,Missing customer name
ORD-103314,14-04-2021 00:00,,Consumer,Asia,China,Furniture,Tables,2009.47,1904.84,Second Class,Missing customer name
ORD-103157,28-04-2022 00:00,Maria  Gomez,Home Office,Usca,Brazil,Technology,Binders,3199.31,1365.55,First Class,
ORD-105915,16-02-2022 00:00,Ravi Kumar,Home Office,Africa,Germany,Furniture,Binders,2369.09,572.13,Second Class,
ORD-102625,21-10-2021 00:00,Li Wei,Corporate,Latam,Germany,Office Supplies,Storage,111.05,247.8,Same Day,
ORD-102729,16-10-2021 00:00,Ravi Kumar,Home Office,Europe,Brazil,Technology,Tables,4072.84,-175.93,Standard Class,
ORD-101597,08-09-2018 00:00,Maria  Gomez,Corporate,Europe,USA,Office Supplies,Phones,570.21,1069.22,First Class,
ORD-103060,18-05-2021 00:00,John Doe,Consumer,Usca,China,Technology,Tables,2323.13,774.71,First Class,
ORD-102693,01-05-2022 00:00,Maria  Gomez,Consumer,Africa,China,Technology,Chairs,2901.6,1194.25,Same Day,
ORD-104891,15-10-2021 00:00,,Consumer,Europe,China,Furniture,Storage,3529,92.83,Standard Class,Missing customer name
ORD-105147,25-12-2020 00:00,John Doe,Consumer,Usca,Germany,Furniture,Phones,2056.93,309.11,Standard Class,
ORD-105739,19-06-2018 00:00,,Home Office,Usca,USA,Office Supplies,Tables,3679.06,230.24,Second Class,Missing customer name
ORD-103627,05-09-2022 00:00,Anita Sharma,Home Office,Africa,China,Office Supplies,Tables,661.09,1494.13,First Class,
ORD-101363,18-11-2021 00:00,Maria  Gomez,Corporate,Europe,Brazil,Technology,Phones,3268.96,-71.93,Standard Class,
ORD-101981,04-04-2019 00:00,Maria  Gomez,Home Office,Europe,China,Technology,Chairs,4132.56,1021.18,First Class,
ORD-105450,26-01-2023 00:00,Li Wei,Consumer,Europe,India,Furniture,Chairs,4447.77,-371.61,First Class,
ORD-101663,14-04-2021 00:00,Ravi Kumar,Consumer,Asia,USA,Furniture,Tables,2899.93,873.82,First Class,
ORD-101529,01-06-2020 00:00,John Doe,Consumer,Europe,India,Furniture,Binders,1567.91,-340.22,First Class,
ORD-102038,18-11-2018 00:00,John Doe,Corporate,Latam,USA,Furniture,Phones,820.97,-60.31,Second Class,
ORD-105592,17-08-2020 00:00,Li Wei,Corporate,Asia,Brazil,Furniture,Chairs,1731.07,-217.44,Standard Class,
ORD-103302,19-07-2022 00:00,Li Wei,Home Office,Asia,Germany,Technology,Chairs,2702.17,366.81,First Class,
ORD-102237,09-06-2021 00:00,Ravi Kumar,Consumer,Asia,Germany,Technology,Chairs,985.67,359.33,Standard Class,
ORD-105504,30-09-2018 00:00,,Consumer,Asia,USA,Office Supplies,Storage,4762.81,1566.05,Same Day,Missing customer name
ORD-105496,23-03-2019 00:00,Ravi Kumar,Consumer,Usca,China,Technology,Binders,4486.19,64.22,Same Day,
ORD-101306,10-07-2018 00:00,Maria  Gomez,Consumer,Latam,India,Furniture,Chairs,169.62,-284.03,Standard Class,
ORD-104029,12-09-2019 00:00,,Home Office,Africa,Brazil,Technology,Binders,2812,1008.78,Second Class,Missing customer name
ORD-102675,28-03-2019 00:00,Anita Sharma,Home Office,Europe,China,Technology,Tables,3947.6,1218.63,Second Class,
ORD-105068,03-06-2018 00:00,Ravi Kumar,Corporate,Asia,Germany,Technology,Tables,1230.73,237.06,Same Day,
ORD-105864,01-01-2020 00:00,Li Wei,Consumer,Africa,China,Office Supplies,Storage,2621.86,1007.04,First Class,
ORD-101282,30-09-2020 00:00,,Consumer,Usca,India,Office Supplies,Binders,2032.93,1440.14,Same Day,Missing customer name
ORD-100709,30-12-2019 00:00,Ravi Kumar,Home Office,Africa,Germany,Technology,Phones,986.75,368.88,First Class,
ORD-105575,21-08-2022 00:00,John Doe,Home Office,Asia,USA,Technology,Storage,3075.61,813.38,Same Day,
ORD-105530,29-10-2020 00:00,Anita Sharma,Corporate,Latam,Brazil,Furniture,Chairs,4968.49,-133.42,Same Day,
ORD-104744,08-11-2022 00:00,Maria  Gomez,Corporate,Africa,Brazil,Office Supplies,Tables,1829.61,-440.88,Second Class,
ORD-104413,04-02-2022 00:00,John Doe,Corporate,Asia,Germany,Furniture,Tables,2764.13,1953.42,Standard Class,
ORD-103748,19-12-2022 00:00,John Doe,Consumer,Asia,USA,Furniture,Phones,1642.63,249.33,Standard Class,
ORD-105353,21-09-2018 00:00,Anita Sharma,Consumer,Europe,India,Technology,Storage,4385.36,197.26,Same Day,
ORD-104779,24-05-2019 00:00,Maria  Gomez,Consumer,Europe,Brazil,Technology,Binders,4323.69,1933.11,Second Class,
ORD-100663,11-08-2021 00:00,Li Wei,Corporate,Latam,Germany,Technology,Tables,897.97,1320.58,First Class,
ORD-101998,17-09-2020 00:00,,Corporate,Europe,Brazil,Furniture,Chairs,4500.24,963.24,Same Day,Missing customer name
ORD-103445,30-08-2021 00:00,Maria  Gomez,Corporate,Latam,USA,Furniture,Phones,761.79,1248.31,First Class,
ORD-103743,22-05-2022 00:00,Ravi Kumar,Consumer,Usca,India,Furniture,Phones,481.72,1274.82,First Class,
ORD-105727,18-05-2020 00:00,John Doe,Corporate,Usca,USA,Technology,Phones,3266.41,1408.34,Second Class,
ORD-101495,27-02-2023 00:00,Ravi Kumar,Consumer,Europe,China,Technology,Chairs,1932.59,-332.03,Second Class,
ORD-103304,11-06-2023 00:00,Li Wei,Consumer,Usca,USA,Technology,Phones,2656.05,532.08,Standard Class,
ORD-103763,12-08-2022 00:00,Ravi Kumar,Corporate,Africa,USA,Furniture,Binders,3264.59,237.83,Second Class,
ORD-105232,24-12-2021 00:00,Maria  Gomez,Corporate,Africa,Brazil,Furniture,Binders,268.92,-323.58,Same Day,
ORD-101853,10-10-2018 00:00,Ravi Kumar,Corporate,Africa,USA,Office Supplies,Storage,1468.3,531.5,Same Day,
ORD-105616,03-04-2019 00:00,Li Wei,Corporate,Usca,Germany,Technology,Storage,2307.23,1040.43,First Class,
ORD-104659,30-03-2020 00:00,Li Wei,Consumer,Africa,Brazil,Furniture,Binders,1336.6,-53.76,Standard Class,
ORD-101291,10-02-2021 00:00,Li Wei,Corporate,Latam,Brazil,Office Supplies,Chairs,249.61,262.57,First Class,
ORD-103581,16-09-2021 00:00,Maria  Gomez,Corporate,Asia,China,Furniture,Storage,437.95,1097.93,First Class,
ORD-103457,26-04-2023 00:00,Li Wei,Home Office,Europe,Germany,Furniture,Phones,4009.73,948.31,Standard Class,
ORD-101636,21-07-2022 00:00,John Doe,Home Office,Latam,USA,Technology,Binders,4557.38,1671.96,First Class,
ORD-103696,24-12-2022 00:00,Li Wei,Home Office,Africa,China,Office Supplies,Tables,765.41,1478.08,Standard Class,
ORD-102999,22-10-2022 00:00,Ravi Kumar,Consumer,Asia,Germany,Furniture,Chairs,1250.06,1914.03,First Class,
ORD-103152,23-09-2019 00:00,,Corporate,Europe,China,Office Supplies,Chairs,3262.99,992.98,First Class,Missing customer name
ORD-100698,17-04-2019 00:00,Ravi Kumar,Corporate,Latam,India,Office Supplies,Binders,4771.59,1246.17,Standard Class,
ORD-102160,09-10-2018 00:00,,Corporate,Europe,USA,Technology,Tables,1501.45,1651.27,Same Day,Missing customer name
ORD-104097,15-01-2022 00:00,Ravi Kumar,Corporate,Usca,China,Office Supplies,Chairs,4276.79,1599.98,First Class,
ORD-104737,23-05-2022 00:00,Maria  Gomez,Corporate,Africa,India,Technology,Storage,2532.59,1296.8,First Class,
ORD-105685,10-05-2023 00:00,Ravi Kumar,Corporate,Latam,USA,Technology,Tables,4783.01,750.64,Same Day,
ORD-100854,03-02-2019 00:00,Maria  Gomez,Consumer,Latam,China,Technology,Phones,685.61,183.02,Standard Class,
ORD-105855,29-09-2019 00:00,Maria  Gomez,Consumer,Asia,China,Office Supplies,Storage,4868.49,1693.04,Standard Class,
ORD-103474,03-10-2020 00:00,Li Wei,Consumer,Asia,China,Furniture,Tables,2207.69,1441.64,Same Day,
ORD-105757,01-10-2018 00:00,John Doe,Corporate,Asia,China,Technology,Binders,4764.93,1594.77,Standard Class,
ORD-105249,09-12-2019 00:00,,Corporate,Europe,Brazil,Furniture,Chairs,2296.16,-148.03,Second Class,Missing customer name
ORD-105172,17-02-2022 00:00,Li Wei,Consumer,Africa,China,Office Supplies,Storage,2652.76,287.03,First Class,
ORD-101707,04-05-2022 00:00,Li Wei,Corporate,Europe,Brazil,Furniture,Binders,4024.85,562.21,Standard Class,
ORD-102777,16-07-2022 00:00,Maria  Gomez,Corporate,Africa,Brazil,Furniture,Tables,3614.53,1595.88,Same Day,
ORD-105791,14-12-2022 00:00,Maria  Gomez,Consumer,Latam,India,Technology,Phones,3099.92,1732.22,First Class,
